,Mark,belong,url
1188,FLEMINGTON,My own brick examples,https://www.scottishbrickhistory.co.uk/flemington-4/
1189,FM & CO HEATHFIELD,My own brick examples,https://www.scottishbrickhistory.co.uk/fm-co-heathfield/
1190,FORDEL_,My own brick examples,"Fordel%20Mains Colliery , St Davids, Fife"
1191,FORDELL,My own brick examples,https://www.scottishbrickhistory.co.uk/fordell/
1192,FORRES A BLUEBELL X,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/forres-a-bluebell-x/
1193,FORTH,My own brick examples,https://www.scottishbrickhistory.co.uk/forth/
1194,FORTH,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-4/
1195,FORTH,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-5/
1196,FORTH,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-2/
1197,FORTH A,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-a/
1198,FORTH 1,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/?p=63581&preview=true
1199,FORTH 2,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-2-2/
1200,FORTH 3,My own brick examples,https://www.scottishbrickhistory.co.uk/forth-3/
1201,FRANKFIELD,My own brick examples,https://www.scottishbrickhistory.co.uk/frankfield/
1202,FRANKFIELD,My own brick examples,https://www.scottishbrickhistory.co.uk/frankfield-2/
1203,FRASER ERROL,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/?p=74161&preview=true
1204,FRASER KIRKCALDY,My own brick examples,https://www.scottishbrickhistory.co.uk/fraser-kirkcaldy/
1205,FRASER KIRKCALDY,My own brick examples,https://www.scottishbrickhistory.co.uk/fraser-kirkcaldy-2/
1206,FREW,My own brick examples,https://www.scottishbrickhistory.co.uk/frew/
1207,FREW,My own brick examples,https://www.scottishbrickhistory.co.uk/frew-3/
1208,FREW,My own brick examples,https://www.scottishbrickhistory.co.uk/frew-2/
1209,FREW,My own brick examples,https://www.scottishbrickhistory.co.uk/frew-4/
1210,FREW,My own brick examples,https://www.scottishbrickhistory.co.uk/frew-7/
1211,FREW,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/frew-6/
1212,FREW,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/frew-5/
1213,FSCO GEM_,My own brick examples,https://www.scottishbrickhistory.co.uk/fsco-gem/
1214,F 535 GLENBOIG,My own brick examples,https://www.scottishbrickhistory.co.uk/f535-glenboig/
1215,G  ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/g/
1216,G  _     ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/g-2/
1217,G & A  ,My own brick examples,https://www.scottishbrickhistory.co.uk/g-a/
1218,G & A SCOTLAND  _    definitely_  ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/g-a-scotland/
1219,G ALEXANDER PATENT BISHOPTON,My own brick examples,https://www.scottishbrickhistory.co.uk/g-alexander-patent-bishopton/
1220,GB,My own brick examples,https://www.scottishbrickhistory.co.uk/gb/
1221,G CASTLECARY,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/g-castlecary/
1222,G CLENNELL SANQUHAR,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/g-clennell-sanquhar/
1223,G COY  ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/g-coy/
1224,G DIXON,My own brick examples,https://www.scottishbrickhistory.co.uk/g-dixon/
1225,G EADIE,My own brick examples,https://www.scottishbrickhistory.co.uk/g-eadie/
1226,G EADIE__ PATENT,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=73970&preview=true
1227,G INGRAM & CO,My own brick examples,https://www.scottishbrickhistory.co.uk/ingram-g-co/
1228,G SHAW DALBEATTIE,My own brick examples,https://www.scottishbrickhistory.co.uk/g-shaw-dalbeattie/
1229,GS LOUDON HERMAND,My own brick examples,https://www.scottishbrickhistory.co.uk/g-s-loudon-hermand/
1230,GS LOUDON WESTCALDER,My own brick examples,https://www.scottishbrickhistory.co.uk/g-s-louden-west-calder/
1231,G TURNBULL C DYKEHEAD,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/g-turnbull-c-dykehead/
1232,G TURNBULL C DYKEHEAD 3/4,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/turnbull-dykehead/
1233,G W S  ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/g-w-s/
