,mark,tag
0,A,Atlas
1,A/8 315 Y,Alro
2,A/8 315 Y,GR - Stein Refractories
3,ABERCORN,Abercorn
4,ABERCORN,Abercorn
5,ABERCORN,Chimney
6,ABERCORN COY INKERMANN PAISLEY,Abercorn oil company
7,ABERCORN COY INKERMANN PAISLEY,Inkerman
8,ABL,Avonbridge
9,A & J MCDONALD PATENT GLASGOW,A and J MacDonald
10,A BALD ALLOA,Alexander Bald
11,A BALD ALLOA,Alloa Brick and Tile Works
12,A BALD ALLOA,Alexander Bald
13,A BALD ALLOA,Alloa Brick and Tile Works
14,A BALD ALLOA,Alexander Bald
15,A BALD ALLOA,Alloa Brick and Tile Works
16,A BALD ALLOA,Alexander Bald
17,A DOUGLAS,Douglas Firebrick Company
18,A DUNCAN PATENT DUMBARTON,Agnes Duncan
19,A GARTCOSH,Fingerprint
20,A GARTCOSH,Gartcosh
21,A GARTCRAIG,Gartcraig
22,A GARTCRAIG,USA
23,A GLENBOIG,Glenboig
24,A GLENBOIG HD 77,Glenboig
25,A LIVINGSTONE & SON PATENT PORTOBELLO,Abercorn
26,A LIVINGSTONE & SON PATENT PORTOBELLO,Allan Livingston
27,A LIVINGSTONE & SON PATENT PORTOBELLO,Portobello
28,A.PATRICK & CO CROWN BRAND,Crown Fire Clay Works
29,AR,Archibald Russell
30,AR,Tannochside
31,AR,Archibald Russell
32,AR,Tannochside
33,AR,Archibald Russell
34,AR,Tannochside
35,AR,Archibald Russell
36,AR,Tannochside
37,A R ADAMANTINE 2015      ,Adamantine
38,A R ADAMANTINE 2015      ,John Gilchrist Stein
39,A ROXX 144 ND,John Gilchrist Stein
40,A ROXX 144 ND,Nettle
41,A & T BOW GLASGOW,A and T Bow
42,A & T BOW GLASGOW,A and T Bow
43,A & T BOW PATENT GLASGOW,A and T Bow
44,A THOMSON PATENT GLASGOW,Alexander Thomson
45,A THOMSON & SONS GLASGOW,Alexander Thomson
46,ABERCORN COY INKERMANN PAISLEY,Abercorn oil company
47,ABERCORN COY INKERMANN PAISLEY,Inkerman
48,ADAM,R and D Adam
49,ADAM,R and D Adam
50,ADAM,R and D Adam
51,ADAM,R and D Adam
52,ADAM RUTHERGLEN,R and D Adam
53,ADAM RUTHERGLEN,Rutherglen
54,ADAM RUTHERGLEN,R and D Adam
55,ADAM RUTHERGLEN,Rutherglen
56,ADAMANTINE D C        ,Adamantine
57,AFTON,Afton Brick and Tile Works
58,AFTON,Avonbridge
59,AFTON,Afton Brick and Tile Works
60,AFTON,Afton Brick and Tile Works
61,AFTON,Avonbridge
62,AFTON,Afton Brick and Tile Works
63,AFTON,Afton Brick and Tile Works
64,AFTON,Avonbridge
65,AFTON,Afton Tileworks
66,AFTON,Messrs Dickenson and Co
67,AFTON NEW CUMNOCK,Afton Brick and Tile Works
68,AFTON NEW CUMNOCK,Afton Brick and Tile Works
69,AFTON NEW CUMNOCK,Afton Brick and Tile Works
70,AFTON NEW CUMNOCK,Afton Brick and Tile Works
71,AFTON NEW CUMNOCK,Afton Brick and Tile Works
72,AFTON 1963,Afton Brick and Tile Works
73,AFTON 1963,Avonbridge
74,AFTON 1963,CORED
75,AFTON 1963,Dated
76,AFTON 68 (T)HISTLE,Afton Brick and Tile Works
77,AFTON 68 (T)HISTLE,Avonbridge
78,AFTON 68 (T)HISTLE,CORED
79,AFTON 68 (T)HISTLE,Dated
80,AFTON 69,Afton Brick and Tile Works
81,AFTON 69,Avonbridge
82,AFTON 69,CORED
83,AFTON 69,Dated
84,AFTON 73,Afton Brick and Tile Works
85,AFTON 73,CORED
86,AFTON 73,Dated
87,AFTON 74,Afton Brick and Tile Works
88,AFTON 74,CORED
89,AFTON 74,Dated
90,AFTON 75,Afton Brick and Tile Works
91,AIRDRIE,Airdrie Brick Co
92,AIRDRIE,Airdrie Brickworks
93,AIRDRIE,Airdrie Brick Co
94,AIRDRIE,Airdrie Brickworks
95,ALCRO 2475,Alcro
96,ALCRO 2475,John Gilchrist Stein
97,"ALEXR WILSON & SON TERRACOTTA MANUFACTURERS, LOCHHEAD WORKS DUNFERMLINE NB",Alexander Wilson
98,"ALEXR WILSON & SON TERRACOTTA MANUFACTURERS, LOCHHEAD WORKS DUNFERMLINE NB",Lochhead
99,ALEXR WILSON & SON TERRACOTTA MANFTRS LOCHHEAD DUNFERMLINE,Alexander Wilson
100,ALEXR WILSON & SON TERRACOTTA MANFTRS LOCHHEAD DUNFERMLINE,Lochhead
101,ALEX WHITELAW & CO BISHOPTON PATENT,Alexander Whitelaw
102,ALEX WHITELAW & CO BISHOPTON PATENT,Darngavil
103,ALEX WHITELAW & CO BISHOPTON PATENT,Alexander Whitelaw
104,ALEX WHITELAW & CO BISHOPTON PATENT,Darngavil
105,ALLAN (& MANN) GOVAN (PATENT) GLASGOW,Allan and Mann
106,ALLAN & MANN GLASGOW,Allan and Mann
107,ALLAN & MANN MAKERS GLASGOW,Allan and Mann
108,ALLAN & MANN MAKERS GLASGOW,trough
109,ALLAN & MANN PATENT GLASGOW,Allan and Mann
110,ALLAN & MANN PATENT GLASGOW,Allan and Mann
111,ALLAN & MANN PATENT GLASGOW,Allan and Mann
112,ALLAN & MANN PATENT GLASGOW,Allan and Mann
113,ALLAN & MANN PATENT GLASGOW,Allan and Mann
114,ALLAN & MANN PATENT GLASGOW,Allan and Mann
115,ALLAN & MANN PATENT GLASGOW 3’6″ 2 5,Allan and Mann
116,ALLAN & MANN PATENT GLASGOW 3’6″ 2 5,Scottish bricks associated with particular structures
117,ALLAN & MANN PATENT GLASGOW 4’6  31,Allan and Mann
118,ALLAN & MANN WORKS RUTHERGLEN & GLASGOW,Allan and Mann
119,ALLAN & MANN WORKS RUTHERGLEN & GLASGOW,trough
120,ALLAN & MANN X PATENT GLASGOW,Allan and Mann
121,ALLAN KIRKWOOD NITSHILL GLASGOW,Allan Kirkwood
122,ALLAN KIRKWOOD NITSHILL GLASGOW,Chimney
123,ALLAN PATENT CARLUKE,James Allan - Carluke
124,ALLANTON,Allanton
125,ALLANTON,Allanton
126,ALLOA,Alloa Coal Company
127,ALLOA,Meta
128,ALLOA,Alloa Brick and Tile Works
129,ALLOA,Alloa Brick and Tile Works
130,ALLOA,Alloa Brick and Tile Works
131,ALLOA BRICK & TILE WORKS +,Alloa Brick and Tile Works
132,ALLOA COAL CO LTD META,Alloa Coal Company
133,ALLOA COAL CO LTD META,Meta
134,ALLOA PATENT,Alloa Brick and Tile Works
135,ALLOA PATENT,Alloa Brick and Tile Works
136,ALPHA,Herbertshire
137,ALPHA,Millstone Grit and Fireclay Co
138,ALPHA +,Millstone Grit and Fireclay Co
139,ALRO 80 NK 310,Alro
140,ALRO 80 NK 310,Cookson
141,ALRO 80 NK 310,GR - Stein Refractories
142,ALRO 80 NK 310,Vesuvius
143,ALRO 80 611 Y,Alro
144,ALRO 80 611 Y,John Gilchrist Stein
145,ALUDO 4,Aludo
146,ALUDO 4,James Dougall
147,ALUDO 4 18   27,Aludo
148,ALUDO 4 18   27,James Dougall
149,ALUDO 5,Aludo
150,ALUDO 5,James Dougall
151,ALUDO 5,Aludo
152,ALUDO 5,James Dougall
153,ALUDO 6,Aludo
154,ALUDO 6,James Dougall
155,ALUDO 8,Aludo
156,ALUDO 8,James Dougall
157,ALUMA        Most likely      Glenboig,Aluma
158,ALUMA        Most likely      Glenboig,Glenboig
159,ALUMINA        ,Alumina
160,ALVA CLAYTON & COS PATENT,Alva
161,ANCELL MCINTYRE & CO AUCHINLEE,Ancell McIntyre
162,ANCELL MCINTYRE & CO AUCHINLEE,Auchinlee
163,ANCELL MCINTYRE & CO AUCHINLEE,John Ancell
164,ANCELL MCINTYRE & CO AUCHINLEE,John McIntyre Auchinlea
165,ANCELL MCINTYRE & CO AUCHINLEE,Thomas Gibb
166,ANNANDALE,Annandale
167,ANNANDALE,Annandale
168,ANNANDALE,Annandale
169,ANNANDALE,Annandale
170,ANNANDALE,Annandale
171,ANNANDALE,Annandale
172,ANNBANK,Annbank
173,ANNBANK,William Baird
174,ANNBANK,Annbank
175,ANNBANK,William Baird
176,ANNBANK,Annbank
177,ANNBANK,William Baird
178,ANNBANK,Annbank
179,ANNBANK,William Baird
180,ANNISTON,Anniston
181,APPIN,Appin
182,APPIN,Street Brothers
183,APPIN,townhill
184,APPIN,Appin
185,APPIN,Street Brothers
186,APPIN,townhill
187,APPIN,Appin
188,APPIN,Scottish bricks associated with particular structures
189,APPIN,Appin
190,APPIN,Paver / Stable / Byre Block
191,APPIN,Street Brothers
192,APPIN,townhill
193,APPIN VI,Appin
194,APPIN VI,Street Brothers
195,APPIN VI,townhill
196,APPIN XII,Appin
197,APPIN XII,Street Brothers
198,APPIN XII,townhill
199,ARBROATH,Arbroath
200,ARBROATH,Ward Mill
201,ARBROATH,Arbroath
202,ARBROATH,Ward Mill
203,ARDEER,Ardeer
204,ARDOR        ,Ardor
205,ARDOR        ,Atlas
206,ARDOR        ,Etna
207,ARDOR        ,Manufactured in Scotland and branded for National and Overseas Customers
208,ARMSTRONG SOUTHHOOK KILMARNOCK 91,Armstrong
209,ARMSTRONG SOUTHHOOK KILMARNOCK 91,Southhook Fireclay Works
210,ARNISTON,Arniston
211,ARNISTON,Arniston
212,ARNISTON,Arniston
213,ARNISTON,Arniston
214,ARNISTON,Arniston
215,ARNISTON,Arniston
216,ARNISTON,Arniston
217,ARNISTON,Scottish bricks associated with particular structures
218,ARNISTON 1856,Arniston
219,ARNISTON 1856,Dated
220,ARNISTON 1856,Arniston
221,ARNISTON 1856,Dated
222,ARNISTON 1857,Arniston
223,ARNISTON 1857,Dated
224,ARNISTON 1859,Arniston
225,ARNISTON 1859,Dated
226,ARNISTON 1860,Arniston
227,ARNISTON 1860,Dated
228,ARNISTON 1861,Arniston
229,ARNISTON 1861,Dated
230,ARNISTON 1862,Arniston
231,ARNISTON 1862,Dated
232,ARNISTON 1863,Arniston
233,ARNISTON 1863,Dated
234,ARNISTON 1866,Arniston
235,ARNISTON 1866,Dated
236,ARNISTON 1867,Arniston
237,ARNISTON 1867,Dated
238,ARNISTON 1868,Arniston
239,ARNISTON 1868,Dated
240,ARNISTON 1872,Arniston
241,ARNISTON 1872,Dated
242,ARNS,Arns
243,ARNS,John Gilchrist Stein
244,ASBESTOS  ,Asbestic Sand Brick Company
245,ASBESTOS  ,Asbestos
246,AT,Alexandra Transport Company
247,ATC,Alexandra Transport Company
248,ATC,Cadder Brick Works
249,ATC,Alexandra Transport Company
250,ATC,Cadder Brick Works
251,ATC,Alexandra Transport Company
252,ATC,Cadder Brick Works
253,ATC,Alexandra Transport Company
254,ATC,Cadder Brick Works
255,ATC RB,Alexandra Transport Company
256,ATLAS,Atlas
257,ATLAS,Atlas
258,ATLAS,Atlas
259,ATLAS,Atlas
260,ATLAS,Atlas
261,ATLAS,Atlas
262,ATLAS,Atlas
263,ATLAS,Atlas
264,ATLAS,Atlas
265,ATLAS + A,Atlas
266,ATLAS + A,Atlas
267,ATLAS + A,Atlas
268,ATLAS + A 72,Atlas
269,ATLAS + A  518Y,Atlas
270,ATLAS + A 10008,Atlas
271,ATLAS +A BWP 143,Atlas
272,ATLAS COATBRIDGE,Calder Fireclay Company
273,ATLAS COATBRIDGE,Carnbroe Fire Brick Works
274,ATLAS COATBRIDGE,Robert Fleming
275,ATLAS COATBRIDGE,Calder Fireclay Company
276,ATLAS COATBRIDGE,Carnbroe Fire Brick Works
277,ATLAS COATBRIDGE,Robert Fleming
278,ATLAS COMPN,Atlas
279,ATLAS DA 047 DD,Atlas
280,ATLAS GREAT BRITAIN,Atlas
281,ATLAS L 204,Atlas
282,ATLAS P1,Atlas
283,ATLAS STIRLING,Atlas
284,ATLAS   T,Atlas
285,ATLAS 1,Atlas
286,ATLAS 1,Atlas
287,ATLAS 1,Atlas
288,ATLAS 2,Atlas
289,ATLAS 2 1/4,Atlas
290,ATLAS 2 1/4,Atlas
291,ATLAS 2 7/8,Atlas
292,ATLAS 402 A,Atlas
293,ATLAS 486 SA,Atlas
294,ATLAS 50,Atlas
295,ATLAS 60 A 18/2,Atlas
296,ATLAS 1567 CL,Atlas
297,ATTIEH THISTLE,John Gilchrist Stein
298,ATTIEH THISTLE,Manufactured in Scotland and branded for National and Overseas Customers
299,ATTIEH THISTLE,Saudi Arabia
300,ATTIEH THISTLE,Thistle
301,AUCHENHEATH,Auchenheath
302,AUCHENMADE,Auchenmade
303,AUCHINLEA,Auchinlea
304,AUCHINLEA,Auchinlea
305,AUCHINLEA,Auchinlea
306,AUCHINLEA,Auchinlea
307,AUCHINLEA,Auchinlea
308,AUCHINLEA,Auchinlea
309,AUCHINLEA,Auchinlea
310,AUCHINLEE,Auchinlee
311,AUCHLOCHAN,Auchlochan
312,AUCHLOCHAN,William Dixon
313,AUCHLOCHAN,Auchlochan
314,AUCHLOCHAN,William Dixon
315,AUCHLOCHAN,Auchlochan
316,AUCHLOCHAN,William Dixon
317,AVON,Afton Brick and Tile Works
318,AVON,Avon
319,AVON,Avonbridge
320,AVONBRIDGE ,Afton Brick and Tile Works
321,AVONBRIDGE ,Avon
322,AVONBRIDGE ,Avonbridge
323,AVONBRIDGE ,Redford
324,A1        ,James Dougall
325,A2        ,James Dougall
326,A3        ,Baby brick
327,A4        ,James Dougall
328,B1  ,James Dougall
329,B 4 C GLENBOIG 124,Glenboig
330,B DOUGALL,James Dougall
331,B DOURIE,Dourie
332,B DOURIE,P and M Hurll
333,B GARTCOSH,Gartcosh
334,B GLENBOIG,Glenboig
335,B & B  ,P and M Hurll
336,B & CO,Bowman
337,B & CO,Wemyss
338,B & M,B and M
339,B & M,Bell and McLauchlan
340,B & M,Doura
341,B & M,John Barr
342,B & M,William McJannet
343,BB         ,B B
344,BB        ,B B
345,Null,Null
346,BCM CASTLECARY,BCM
347,BCM CASTLECARY,Castlecary Fireclay Company - Weir
348,BCM / HEATHFIELD,BCM
349,BCM / HEATHFIELD,Heathfield
350,BCM / HEATHFIELD S,Heathfield
351,BCM / STEIN,BCM
352,BCM / STEIN,John Gilchrist Stein
353,BCM / STEIN,BCM
354,BCM / STEIN,John Gilchrist Stein
355,BCM / THISTLE,BCM
356,BCM / THISTLE,John Gilchrist Stein
357,BCM / THISTLE,Thistle
358,B DOUGALL,Fingerprint
359,B DOUGALL,James Dougall
360,B’FIELD,Brucefield
361,B’FIELD,Brucefield
362,B HEATHFIELD,Heathfield
363,B & SS  ,Bairds and Scottish Steel
364,B & SS  ,Gartshore
365,B & SS  ,William Baird
366,BAIRDS,William Baird
367,BALGONIE,Balgonie
368,BALGONIE,Balgonie
369,BALGONIE,Balgonie
370,BALGONIE COLLIERY,Balgonie
371,BALGONIE COLLIERY,Balgonie
372,BALGONIE COLLIERY,Balgonie
373,BANK,Bank
374,BANKNOCK,Banknock
375,BANKNOCK,Cannerton
376,BANKPARK,Bankpark
377,BANKPARK,John Grieve
378,BANKPARK,Bankpark
379,BANKPARK,John Grieve
380,BANKPARK,Bankpark
381,BANKPARK,trough
382,BANKPARK PYROPALITE WORKS PRESTON PANS,Bankpark
383,BANKPARK PYROPALITE WORKS PRESTON PANS,John Grieve
384,BANKPARK PYROPALITE WORKS PRESTON PANS,Pyropalite
385,BANTON,Banton
386,BANTON,Cadell
387,BANTON,Banton
388,BAP,Argentina
389,BAP,BAP
390,BAP,Forth
391,BAP,Manufactured in Scotland and branded for National and Overseas Customers
392,BAP,Railway Related
393,BAP,Roughcastle
394,BAP,Argentina
395,BAP,BAP
396,BAP,Forth
397,BAP,Manufactured in Scotland and branded for National and Overseas Customers
398,BAP,Railway Related
399,BAP,Roughcastle
400,BAP FORTH,Argentina
401,BAP FORTH,BAP
402,BAP FORTH,Forth
403,BAP FORTH,Manufactured in Scotland and branded for National and Overseas Customers
404,BAP FORTH,Railway Related
405,BAP FORTH,Roughcastle
406,BAP GLENBOIG,BAP
407,BAP GLENBOIG,Glenboig
408,BAP GLENBOIG,Manufactured in Scotland and branded for National and Overseas Customers
409,BAP GLENBOIG,Railway Related
410,BARGANY,Bargany
411,BAR LAW,Barbauchlaw
412,BARLINNIE,Barlinnie
413,BARLINNIE,William Wilson Barlinnie and Campbellfield
414,BARR WORKS BEITH,Barr
415,BARTONSHILL,Bartonshill
416,BARTONSHILL,Bartonshill
417,BARTONSHILL,Bartonshill
418,BATHVILLE,Bathville
419,BATHVILLE,Bathville
420,BATHVILLE,Bathville
421,BATHVILLE,Bathville
422,BATHVILLE,Bathville
423,BATHVILLE,Bathville
424,BELL HORNSBY & CO PATENT GLASGOW,Bell Hornsby and Co
425,BELL HORNSBY & CO PATENT GLASGOW,Blairdardie
426,BELL HORNSBY & CO PATENT GLASGOW,Langlands
427,BELL HORNSBY & CO PATENT GLASGOW,Polmadie
428,BELL HORNSBY & CO PATENT GLASGOW,Bell Hornsby and Co
429,BELL HORNSBY & CO PATENT GLASGOW,Blairdardie
430,BELL HORNSBY & CO PATENT GLASGOW,Langlands
431,BELL HORNSBY & CO PATENT GLASGOW,Polmadie
432,BELL HORNSBY & CO PATENT GLASGOW,Bell Hornsby and Co
433,BELLSIDE,Bellside
434,BETA,Millstone Grit and Fireclay Co
435,BETA,Beta
436,BETA,Millstone Grit and Fireclay Co
437,BETA,Beta
438,BETA,Millstone Grit and Fireclay Co
439,BETA L,Millstone Grit and Fireclay Co
440,BISHOP BRIGGS,Bishopbriggs
441,BISHOPBRIGGS,Bishopbriggs
442,BISHOPBRIGGS,Bishopbriggs
443,BISHOPBRIGGS,Bishopbriggs
444,BLACK,William Black
445,BLACK,William Black
446,BLACKSTON,Blackston
447,BLACKSTON,William Black
448,BLAIRADAM,Blairadam
449,BLAIRADAM,Blairadam
450,BLAIRADAM,Blairadam
451,BLAIRADAM,Blairadam
452,BLAIRADAM ,Blairadam
453,BLAIRADAM,Blairadam
454,BLAIRADAM,Blairadam
455,BLAIRADAM,Blairadam
456,BL/FERME,Blantyreferme
457,BL’ FERME,Blantyreferme
458,BL’ FERME,Blantyreferme
459,BL   FERME,Blantyreferme
460,BL HURLL,P and M Hurll
461,BLANTYRE FERME,Blantyreferme
462,BLOCHAIRN,Blochairn
463,BLOCHAIRN,Blochairn
464,BLOCHAIRN,Blochairn
465,BLOCHAIRN GLASGOW,Blochairn
466,BLUEBELL,Bluebell
467,BLUEBELL,John Gilchrist Stein
468,BLUEBELL,Bluebell
469,BLUEBELL,John Gilchrist Stein
470,BLUEBELL ,Bluebell
471,BLUEBELL ,John Gilchrist Stein
472,BLUEBELL ,Manufactured in Scotland and branded for National and Overseas Customers
473,BLUEBELL ,Woodall Duckham
474,BLUEBELL A,Bluebell
475,BLUEBELL A,John Gilchrist Stein
476,BLUEBELL E WD B52,Bluebell
477,BLUEBELL E WD B52,John Gilchrist Stein
478,BLUEBELL E WD B52,Manufactured in Scotland and branded for National and Overseas Customers
479,BLUEBELL E WD B52,Woodall Duckham
480,BLUEBELL G,Bluebell
481,BLUEBELL G,John Gilchrist Stein
482,BLUEBELL G 179,Bluebell
483,BLUEBELL G 179,John Gilchrist Stein
484,BLUEBELL G 182,Bluebell
485,BLUEBELL G 182,John Gilchrist Stein
486,BLUEBELL HP 15,Bluebell
487,BLUEBELL HP 15,John Gilchrist Stein
488,BLUEBELL HP 25,Bluebell
489,BLUEBELL HP 25,John Gilchrist Stein
490,BLUEBELL HP 26,Bluebell
491,BLUEBELL HP 26,John Gilchrist Stein
492,BLUEBELL HP 61,Bluebell
493,BLUEBELL HP 61,John Gilchrist Stein
494,BLUEBELL HP 99,Bluebell
495,BLUEBELL HP 99,John Gilchrist Stein
496,BLUEBELL HP 401,Bluebell
497,BLUEBELL HP 401,John Gilchrist Stein
498,BLUEBELL HP 463,Bluebell
499,BLUEBELL HP 463,John Gilchrist Stein
500,BLUEBELL J 33,Bluebell
501,BLUEBELL J 33,John Gilchrist Stein
502,BLUEBELL K,Bluebell
503,BLUEBELL K,John Gilchrist Stein
504,BLUEBELL K 6312,Bluebell
505,BLUEBELL K 6312,John Gilchrist Stein
506,BLUEBELL K 680 BL,Bluebell
507,BLUEBELL K 680 BL,John Gilchrist Stein
508,BLUEBELL K 861 ,Bluebell
509,BLUEBELL K 861 ,John Gilchrist Stein
510,BLUEBELL T 4,Bluebell
511,BLUEBELL T 4,John Gilchrist Stein
512,BLUEBELL T 5,Bluebell
513,BLUEBELL T 5,John Gilchrist Stein
514,BLUEBELL W 135,Bluebell
515,BLUEBELL W 135,John Gilchrist Stein
516,BLUEBELL WD B 323 A,Bluebell
517,BLUEBELL WD B 323 A,John Gilchrist Stein
518,BLUEBELL WD B 323 A,Manufactured in Scotland and branded for National and Overseas Customers
519,BLUEBELL WD B 323 A,Woodall Duckham
520,BLUEBELL WD K 1 B,Bluebell
521,BLUEBELL WD K 1 B,John Gilchrist Stein
522,BLUEBELL WD K 1 B,Manufactured in Scotland and branded for National and Overseas Customers
523,BLUEBELL WD K 1 B,Woodall Duckham
524,BLUEBELL WD K 153 DL,Bluebell
525,BLUEBELL WD K 153 DL,John Gilchrist Stein
526,BLUEBELL WD K 153 DL,Manufactured in Scotland and branded for National and Overseas Customers
527,BLUEBELL WD K 153 DL,Woodall Duckham
528,BLUEBELL WD K 174 BR,Bluebell
529,BLUEBELL WD K 174 BR,John Gilchrist Stein
530,BLUEBELL WD K 174 BR,Manufactured in Scotland and branded for National and Overseas Customers
531,BLUEBELL WD K 174 BR,Woodall Duckham
532,BLUEBELL WD K 275,Bluebell
533,BLUEBELL WD K 275,John Gilchrist Stein
534,BLUEBELL WD K 680 AL,Bluebell
535,BLUEBELL WD K 680 AL,John Gilchrist Stein
536,BLUEBELL WD K 680 AL,Manufactured in Scotland and branded for National and Overseas Customers
537,BLUEBELL WD K 680 AL,Woodall Duckham
538,BLUEBELL WD K 401A R,Bluebell
539,BLUEBELL WD K 401A R,John Gilchrist Stein
540,BLUEBELL WD K 401A R,Manufactured in Scotland and branded for National and Overseas Customers
541,BLUEBELL WD K 401A R,Woodall Duckham
542,BLUEBELL WD K 679 A,Bluebell
543,BLUEBELL WD K 679 A,John Gilchrist Stein
544,BLUEBELL WD K 679 A,Manufactured in Scotland and branded for National and Overseas Customers
545,BLUEBELL WD K 679 A,Woodall Duckham
546,BLUEBELL WD K 679 B,Bluebell
547,BLUEBELL WD K 679 B,John Gilchrist Stein
548,BLUEBELL WD K 679 B,Manufactured in Scotland and branded for National and Overseas Customers
549,BLUEBELL WD K 679 B,Woodall Duckham
550,BLUEBELL WD K 679 E,Bluebell
551,BLUEBELL WD K 679 E,John Gilchrist Stein
552,BLUEBELL WD K 679 E,Manufactured in Scotland and branded for National and Overseas Customers
553,BLUEBELL WD K 679 E,Woodall Duckham
554,BLUEBELL WD K 679 G,Bluebell
555,BLUEBELL WD K 679 G,John Gilchrist Stein
556,BLUEBELL WD K 679 G,Manufactured in Scotland and branded for National and Overseas Customers
557,BLUEBELL WD K 679 G,Woodall Duckham
558,BLUEBELL WD K 680 CR,Bluebell
559,BLUEBELL WD K 680 CR,John Gilchrist Stein
560,BLUEBELL WD K 680 CR,Manufactured in Scotland and branded for National and Overseas Customers
561,BLUEBELL WD K 680 CR,Woodall Duckham
562,BLUEBELL WD K 681 G,Bluebell
563,BLUEBELL WD K 681 G,John Gilchrist Stein
564,BLUEBELL WD K 681 G,Manufactured in Scotland and branded for National and Overseas Customers
565,BLUEBELL WD K 681 G,Woodall Duckham
566,BLUEBELL WD 7,Bluebell
567,BLUEBELL WD 7,John Gilchrist Stein
568,BLUEBELL WD 7,Manufactured in Scotland and branded for National and Overseas Customers
569,BLUEBELL WD 7,Woodall Duckham
570,BLUEBELL WD 37,Bluebell
571,BLUEBELL WD 37,John Gilchrist Stein
572,BLUEBELL WD 37,Manufactured in Scotland and branded for National and Overseas Customers
573,BLUEBELL WD 37,Woodall Duckham
574,BLUEBELL X K,Bluebell
575,BLUEBELL X K,John Gilchrist Stein
576,BLUEBELL WD Z 5 BL,Bluebell
577,BLUEBELL WD Z 5 BL,John Gilchrist Stein
578,BLUEBELL WD Z 5 BL,Manufactured in Scotland and branded for National and Overseas Customers
579,BLUEBELL WD Z 5 BL,Woodall Duckham
580,BLUEBELL 0 F 3 L,Bluebell
581,BLUEBELL 0 F 3 L,John Gilchrist Stein
582,Null,Null
583,BLUEBELL 34 F WD,Bluebell
584,BLUEBELL 34 F WD,John Gilchrist Stein
585,BLUEBELL 34 F WD,Manufactured in Scotland and branded for National and Overseas Customers
586,BLUEBELL 34 F WD,Woodall Duckham
587,BM SCOTCH,Castlecary Fireclay Company - Weir
588,BM SCOTCH,John Gilchrist Stein
589,BM SCOTCH,Manufactured in Scotland and branded for National and Overseas Customers
590,BM SCOTCH,Sankey
591,BM SCOTCH Y8,Castlecary Fireclay Company - Weir
592,BM SCOTCH Y8,Manufactured in Scotland and branded for National and Overseas Customers
593,BM SCOTCH Y8,Sankey
594,BNR STARWORKS J*D GLENBOIG,BNR
595,BNR STARWORKS J*D GLENBOIG,Glenboig
596,BNR STARWORKS J*D GLENBOIG,India
597,BNR STARWORKS J*D GLENBOIG,Manufactured in Scotland and branded for National and Overseas Customers
598,BNR STARWORKS J*D GLENBOIG,Railway Related
599,BNR STARWORKS J*D GLENBOIG,Starworks
600,BOGHEAD,Boghead
601,BOGHEAD,Boghead
602,BOGHEAD,Boghead
603,BOGHEAD,Boghead
604,BOGHEAD,Boghead
605,BOGHEAD GLASGOW,Boghead
606,BOGHEAD GLASGOW,Boghead
607,BOGHEAD RH & CO,Boghead
608,BOGHEAD RH & CO,Manufactured in Scotland and branded for National and Overseas Customers
609,BOGHEAD RH & CO,Robert Muir
610,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
611,BONNYBRIDGE,Calder Fireclay Company
612,BONNYBRIDGE,GR - Stein Refractories
613,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
614,BONNYBRIDGE,Calder Fireclay Company
615,BONNYBRIDGE,GR - Stein Refractories
616,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
617,BONNYBRIDGE,Calder Fireclay Company
618,BONNYBRIDGE,GR - Stein Refractories
619,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
620,BONNYBRIDGE,Calder Fireclay Company
621,BONNYBRIDGE,GR - Stein Refractories
622,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
623,BONNYBRIDGE,Calder Fireclay Company
624,BONNYBRIDGE,GR - Stein Refractories
625,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
626,BONNYBRIDGE,Calder Fireclay Company
627,BONNYBRIDGE,GR - Stein Refractories
628,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
629,BONNYBRIDGE,Calder Fireclay Company
630,BONNYBRIDGE,GR - Stein Refractories
631,BONNYBRIDGE,Bonnybridge Silica and Fireclay Co
632,BONNYBRIDGE,Calder Fireclay Company
633,BONNYBRIDGE,GR - Stein Refractories
634,BONNYBRIDGE D 5,Bonnybridge Silica and Fireclay Co
635,BONNYBRIDGE D 5,Calder Fireclay Company
636,BONNYBRIDGE D 5,GR - Stein Refractories
637,BONNYBRIDGE D 5,John Gilchrist Stein
638,BONNYBRIDGE 2 8 2 1,Bonnybridge Silica and Fireclay Co
639,BONNYBRIDGE 2 8 2 1,Calder Fireclay Company
640,BONNYBRIDGE 2 8 2 1,Chapelhall
641,BONNYBRIDGE 3 1/2,Bonnybridge Silica and Fireclay Co
642,BONNYBRIDGE 3 1/2,Calder Fireclay Company
643,BONNYBRIDGE 3 1/2,GR - Stein Refractories
644,BONNYBRIDGE 8 1/4,Bonnybridge Silica and Fireclay Co
645,BONNYBRIDGE 8 1/4,Calder Fireclay Company
646,BONNYBRIDGE 8 1/4,GR - Stein Refractories
647,BONNYBRIDGE 14,Bonnybridge Silica and Fireclay Co
