,mark,tag
2017,ETNA 4,Etna
2018,ETNA 4′  “,Etna
2019,ETNA 4′ 0″ R,Etna
2020,ETNA 4′ 6″,Etna
2021,ETNA 48,Etna
2022,ETNA 5′ 0″,Etna
2023,ETNA 6’0″,Etna
2024,ETNA 60 R,Etna
2025,ETNA 6′ 9″,Etna
2026,ETNA 70 R,Etna
2027,ETNA 72,Etna
2028,ETNA 7′ 6″,Etna
2029,ETNA 86,Etna
2030,ETNA 90 R,Frankfield
2031,F,Frankfield
2032,F,Frankfield
2033,F1  ,Alro
2034,F1  ,GR - Stein Refractories
2035,F 249/L ALRO 80,Fleming and Moritz
2036,F 249/L ALRO 80,Kopel Moritz
2037,F 249/L ALRO 80,Robert Fleming
2038,F X M  ,Fraser and Sanderson
2039,F X M  ,Inverkeithing
2040,F & S INVERKEITHING,Craigend Refractories
2041,F & S INVERKEITHING,Falcon
2042,FALCON,Craigend Refractories
2043,FALCON,Falcon
2044,FALCON A,Craigend Refractories
2045,FALCON A,Falcon
2046,FALCON A,Craigend Refractories
2047,FALCON A,Falcon
2048,FALCON A,Craigend Refractories
2049,FALCON A,Falcon
2050,FALCON L,Craigend Refractories
2051,FALCON L,Falcon
2052,FALCON L,Craigend Refractories
2053,FALCON L,Falcon
2054,FALCON 8   5,Castlecary Fireclay Company - Weir
2055,FALCON 8   5,Faskine
2056,FASKINE,Fauldhead
2057,FASKINE,Kirkconnel
2058,FAULDHEAD,Frankfield
2059,FB,Argentina
2060,FB,FCP
2061,FB,Forth
2062,FB,Manufactured in Scotland and branded for National and Overseas Customers
2063,FB,Railway Related
2064,FB,Roughcastle
2065,FCP FORTH,Inverkeithing
2066,F C & B CO INVERKEITHING,Argentina
2067,F C & B CO INVERKEITHING,FCCA
2068,F C & B CO INVERKEITHING,Manufactured in Scotland and branded for National and Overseas Customers
2069,F C & B CO INVERKEITHING,Railway Related
2070,FCCA  ,Argentina
2071,FCCA  ,FCCA
2072,FCCA  ,Manufactured in Scotland and branded for National and Overseas Customers
2073,FCCA  ,Railway Related
2074,FCCA  ,Argentina
2075,FCCA  ,FCCA
2076,FCCA  ,Manufactured in Scotland and branded for National and Overseas Customers
2077,FCCA  ,P and M Hurll
2078,FCCA  ,Railway Related
2079,FCCA  ,Argentina
2080,FCCA  ,FCO
2081,FCCA  ,Manufactured in Scotland and branded for National and Overseas Customers
2082,FCCA  ,Railway Related
2083,FCO        ,Argentina
2084,FCO        ,Castlecary Fireclay Company - Weir
2085,FCO        ,FCS
2086,FCO        ,Railway Related
2087,FCS,Argentina
2088,FCS,FCS
2089,FCS,MA1
2090,FCS,Manufactured in Scotland and branded for National and Overseas Customers
2091,FCS,P and M Hurll
2092,FCS,Railway Related
2093,FCS MA1,Argentina
2094,FCS MA1,Castlecary Fireclay Company - Weir
2095,FCS MA1,FCSO
2096,FCS MA1,Gem
2097,FCS MA1,Manufactured in Scotland and branded for National and Overseas Customers
2098,FCS MA1,Railway Related
2099,FELT        ,Ferguslie Fire Clay Works
2100,FELT        ,Robert Brown
2101,FERGUSLIE,Ferguslie Fire Clay Works
2102,FERGUSLIE,Robert Brown
2103,FERGUSLIE PAISLEY,Ferguslie Fire Clay Works
2104,FERGUSLIE PAISLEY,Robert Brown
2105,FERGUSLIE PATENT,Ferguslie Fire Clay Works
2106,FERGUSLIE PATENT,Robert Brown
2107,FERGUSLIE R BROWN PAISLEY,Ferguslie Fire Clay Works
2108,FERGUSLIE R BROWN PAISLEY,Robert Brown
2109,FERGUSLIE R BROWN & SON PAISLEY ,James Dougall
2110,FERLO 8         ,Glenboig
2111,FF 175 GLENBOIG,Glenboig
2112,FG 375 GLENBOIG,Glenboig
2113,FG 375 GLENBOIG 35 P,Finlay
2114,FG 375 GLENBOIG 35 P,Hamilton
2115,FINLAY,Finlay
2116,FINLAY,Hamilton
2117,FINLAY HAMILTON,Finlay
2118,FINLAY HAMILTON,Hamilton
2119,FINLAY HAMILTON,Finlay
2120,FINLAY HAMILTON,Hamilton
2121,FINLAY HAMILTON,Finlay
2122,FINLAY HAMILTON,Hamilton
2123,FINLAY HAMILTON,Gartliston
2124,FINLAY HAMILTON,P and M Hurll
2125,FIRE BRICK WORKS GARTLISTON,Gartliston
2126,FIRE BRICK WORKS GARTLISTON,P and M Hurll
2127,FIRE BRICK WORKS PH GARTLISTON,Heathfield
2128,FIRE CLAY WORKS JF X HEATHFIELD,Flemington
2129,FIRE CLAY WORKS JF X HEATHFIELD,Gateside
2130,FLEMINGTON,Flemington
2131,FLEMINGTON,Gateside
2132,FLEMINGTON,Flemington
2133,FLEMINGTON,Gateside
2134,FLEMINGTON,Flemington
2135,FLEMINGTON,Gateside
2136,FLEMINGTON,Ferguson Miller and Co
2137,FLEMINGTON,Heathfield
2138,FLEMINGTON,Peter Ferguson
2139,FLEMINGTON,Robert Miller
2140,Null,Null
2141,FORDEL ,Fordel
2142,FORDELL,Bluebell
2143,FORDELL,John Gilchrist Stein
2144,FORDELL,Manufactured in Scotland and branded for National and Overseas Customers
2145,FORRES A BLUEBELL X,Forth
2146,FORTH,Forth
2147,FORTH,Forth
2148,FORTH,Forth
2149,FORTH,Forth
2150,FORTH A,Forth
2151,FORTH A,Roughcastle
2152,FORTH 1,Forth
2153,FORTH 2,Forth
2154,FORTH 3,Frankfield
2155,FRANKFIELD,Frankfield
2156,FRANKFIELD,Alexander Fraser - Dundee
2157,FRASER ERROL,Alexander Fraser - Fife
2158,FRASER KIRKCALDY,Alexander Fraser - Fife
2159,FRASER KIRKCALDY,Alexander Frew
2160,FRASER KIRKCALDY,Drumbathie
2161,FRASER KIRKCALDY,Rawyards
2162,FREW,Alexander Frew
2163,FREW,Drumbathie
2164,FREW,Rawyards
2165,FREW,Alexander Frew
2166,FREW,Drumbathie
2167,FREW,Rawyards
2168,FREW,Alexander Frew
2169,FREW,Drumbathie
2170,FREW,Rawyards
2171,FREW,Alexander Frew
2172,FREW,Rawyards
2173,FREW,Alexander Frew
2174,FREW,Rawyards
2175,FREW,Alexander Frew
2176,FREW,Drumbathie
2177,FREW,Rawyards
2178,FREW,Argentina
2179,FREW,Castlecary Fireclay Company - Weir
2180,FREW,FCSO
2181,FREW,Gem
2182,FREW,Manufactured in Scotland and branded for National and Overseas Customers
2183,FREW,Railway Related
2184,FSCO GEM ,Glenboig
2185,G  ,Gwersyll
2186,G        ,Canada
2187,G        ,G and A
2188,G        ,Repatriated Scottish brick
2189,G        ,Scottish bricks overseas
2190,G & A  ,G and A
2191,G & A SCOTLAND       definitely   ,Gilbert Alexander
2192,G ALEXANDER PATENT BISHOPTON,Glenboig
2193,GB,Castlecary Fireclay Company - Weir
2194,G CASTLECARY,George Clennell
2195,G CASTLECARY,trough
2196,G COY  ,Carfin Brickworks
2197,G COY  ,Garturk
2198,G COY  ,Govan
2199,G COY  ,William Dixon
2200,G DIXON,George Eadie
2201,G DIXON,Hangingshaw
2202,G DIXON,Possil
2203,G EADIE,George Eadie
2204,G EADIE,Hangingshaw
2205,G EADIE,Possil
2206,G EADIE’S PATENT,Abercorn
2207,G EADIE’S PATENT,George Ingram
2208,G EADIE’S PATENT,Portobello
2209,G INGRAM & CO,Dalbeattie
2210,G INGRAM & CO,George Shaw
2211,G SHAW DALBEATTIE,G S Loudon
2212,G SHAW DALBEATTIE,Hermand
2213,GS LOUDON HERMAND,G S Loudon
2214,GS LOUDON HERMAND,Hermand
2215,GS LOUDON WESTCALDER,Dykehead
2216,GS LOUDON WESTCALDER,George Turnbull
2217,G TURNBULL C DYKEHEAD,Dykehead
2218,G TURNBULL C DYKEHEAD,George Turnbull
2219,G Y & CO,Canada
2220,G Y & CO,Gairloch
2221,G Y & CO,Repatriated Scottish brick
2222,G Y & CO,Scottish bricks overseas
2223,GAIRLOCH  ,Gairloch
2224,GAIRLOCH  ,Craigton Brickworks
2225,GAIRLOCH  ,Gardner and Shaw
2226,PATENT GARDNER & SHAW CRAIGTON GLASGOW,Garngad
2227,PATENT GARDNER & SHAW CRAIGTON GLASGOW,John Dodds
2228,GARNGAD,Garngad
2229,GARNGAD,John Dodds
2230,GARNGAD,Garnkirk
2231,GARNGAD,Roof Ridge or Tile
2232,GARNKIRK,Garnkirk
2233,GARNKIRK,Roof Ridge or Tile
2234,GARNKIRK,Garnkirk
2235,GARNKIRK ,Garnkirk
2236,GARNKIRK,Garnkirk
2237,GARNKIRK ,Fingerprint
2238,GARNKIRK ,Garnkirk
2239,GARNKIRK,Garnkirk
2240,GARNKIRK,Garnkirk
2241,GARNKIRK,Garnkirk
2242,GARNKIRK,Garnkirk
2243,GARNKIRK,Garnkirk
2244,GARNKIRK,Chimney
2245,GARNKIRK,Garnkirk
2246,GARNKIRK,Garnkirk
2247,GARNKIRK FACING BRICK,Fingerprint
2248,GARNKIRK FACING BRICK,Garnkirk
2249,GARNKIRK H,Garnkirk
2250,GARNKIRK PATENT,Garnkirk
2251,GARNKIRK PATENT,Garnkirk
2252,GARNKIRK PATENT,Garnkirk
2253,GARNKIRK PATENT,Garnkirk
2254,GARNKIRK PATENT,Garnkirk
2255,GARNKIRK PATENT,Garnkirk
2256,GARNKIRK WARRANTED,Garnkirk
2257,GARNKIRK WARRANTED PATENT,Garnkirk
2258,GARNKIRK WARRANTED PATENT,Garnkirk
2259,GARNKIRK 2,Garnkirk
2260,GARNKIRK 4,Garnkirk
2261,GARNKIRK 6,Garrowhill
2262,GARROWHILL,Garrowhill
2263,GARROWHILL,Garrowhill
2264,GARROWHILL,Garscube - Dawsholm
2265,GARROWHILL,Garscube - Netherton
2266,GARROWHILL,Garscube Brick Company
2267,GARSCUBE,Garscube - Dawsholm
2268,GARSCUBE,Garscube - Netherton
2269,GARSCUBE,Garscube Brick Company
2270,GARSCUBE GLASGOW,Garscube - Dawsholm
2271,GARSCUBE GLASGOW,Garscube - Netherton
2272,GARSCUBE GLASGOW,Garscube Brick Company
2273,GARSCUBE GLASGOW,Etna
2274,GARSCUBE GLASGOW,Gartartan
2275,GARTARTAN,Gartartan
2276,GARTARTAN,Gartartan
2277,GARTARTAN,Gartcosh
2278,GARTARTAN,Silica
2279,GARTC? SIL?,Gartcosh
2280,GARTC? SIL?,Roof Ridge or Tile
2281,GARTCOSH,Gartcosh
2282,GARTCOSH,Glenboig
2283,GARTCOSH,Gartcosh
2284,GARTCOSH,Glenboig
2285,GARTCOSH,Gartcosh
2286,GARTCOSH,Gartcosh
2287,GARTCOSH,Glenboig
2288,GARTCOSH,James Binnie
2289,GARTCOSH,Gartcosh
2290,GARTCOSH AO 1,Gartcosh
2291,GARTCOSH B,Gartcosh
2292,GARTCOSH C,Gartcosh
2293,GARTCOSH J,Argentina
2294,GARTCOSH J,FCCA
2295,GARTCOSH J,Gartcosh
2296,GARTCOSH J,Railway Related
2297,GARTCOSH FCCA,Gartcosh
2298,GARTCOSH M 3,Gartcosh
2299,GARTCOSH N 1,Gartcosh
2300,GARTCOSH W 8,Gartcosh
2301,GARTCOSH 2,Garnkirk
2302,GARTCOSH 4,Gartcosh
2303,GARTCOSH 4,James Binnie
2304,GARTCOSH 5,Gartcraig
2305,GARTCRAIG,Fingerprint
2306,GARTCRAIG,Gartcraig
2307,GARTCRAIG,Fingerprint
2308,GARTCRAIG,Gartcraig
2309,GARTCRAIG,Gartcraig
2310,GARTCRAIG,Gartcraig
2311,GARTCRAIG,Gartcraig
2312,GARTCRAIG,Gartcraig
2313,GARTCRAIG,Gartcraig
2314,GARTCRAIG,Gartcraig
2315,GARTCRAIG,Gartcraig
2316,GARTCRAIG BUILDING,Gartcraig
2317,GARTCRAIG FIRE CLAY WORKS,Flat arch
2318,GARTCRAIG FIRE CLAY WORKS,Gartcraig
2319,GARTCRAIG KEY GARTCRAIG,Gartcraig
2320,GARTCRAIG GLASGOW,Gartcraig
2321,GARTCRAIG GLASGOW,Gartcraig
2322,GARTRAIG I,Gartcraig
2323,GARTCRAIG PATENT GLASGOW,Gartcraig
2324,GARTCRAIG PATENT GLASGOW,Gartcraig
2325,GARTCRAIG PATENT GLASGOW,Gartcraig
2326,GARTCRAIG PRESSED BUILDING,Gartcraig
2327,GARTCRAIG PRESSED GLASGOW,Gartcraig
2328,GARTCRAIG SCOTLAND,Gartcraig
2329,GARTCRAIG SCOTLAND,Gartcraig
2330,GARTCRAIG SCOTLAND,Gartcraig
2331,GARTCRAIG SCOTLAND,Gartcraig
2332,GARTCRAIG SCOTLAND,Gartcraig
2333,GARTCRAIG SCOTLAND B,Gartcraig
2334,GARTCRAIG SCOTLAND B,Gaskil
2335,GARTCRAIG SCOTLAND GASKIL,Gartcraig
2336,GARTCRAIG SCOTLAND GASKIL JI,Gartcraig
2337,GARTCRAIG SCOTLAND GASKIL NO1,Gartcraig
2338,GARTCRAIG SCOTLAND NO 1,Gartcraig
2339,GARTCRAIG SCOTLAND NO 1,Gartcraig
2340,GARTCRAIG SCOTLAND NO 6,Gartcraig
2341,GARTCRAIG 3,Gartcraig
2342,GARTCRAIG 4,Gartex
2343,GARTCRAIG 4,P and M Hurll
2344,GARTEX SCOTLAND      definitely   ,Gartcraig
2345,GARTEX SCOTLAND      definitely   ,Gartfire
2346,GARTFIRE       definitely   ,Gartcraig
2347,GARTFIRE       definitely   ,Gartfire
2348,GARTFIRE SCOTLAND  .,Gartliston
2349,GARTFIRE SCOTLAND  .,P and M Hurll
2350,GARTLISTON PH FIRE CLAY WORKS,Gartshore
2351,GARTSHORE,Gartshore
2352,GARTSHORE,Gartshore
2353,GARTSHORE,Barrachnie
2354,GARTSHORE,Garrowhill
2355,GARTSHORE,Gartocher
2356,GARTOCHER,Fingerprint
2357,GARTOCHER,Gartverrie
2358,GARTVERRIE,Gartverrie
2359,GARTVERRIE ROMAN,Gateside
2360,GATESIDE,Gateside
2361,GATESIDE,Gateside
2362,GATESIDE,Cardowan
2363,GATESIDE,Heathfield
2364,GATESIDE,John Young
2365,GATESIDE,Young's
2366,GEC & S CARDOWAN,Castlecary Fireclay Company - Weir
2367,GEC & S CARDOWAN,Gem
2368,GEM,Castlecary Fireclay Company - Weir
2369,GEM,Gem
2370,GEM,Castlecary Fireclay Company - Weir
2371,GEM,Gem
2372,GEM,Castlecary Fireclay Company - Weir
2373,GEM,Gem
2374,GEM,Gem
2375,GEM,Castlecary Fireclay Company - Weir
2376,GEM,Gem
2377,GEM,Argentina
2378,GEM,Castlecary Fireclay Company - Weir
2379,GEM,FCAB
2380,GEM,Gem
2381,GEM,Manufactured in Scotland and branded for National and Overseas Customers
2382,GEM,Railway Related
2383,GEM FCAB,Castlecary Fireclay Company - Weir
2384,GEM FCAB,Gem
